date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2025-02-21 15:00:00,000651.XSHE,400,400,44.59,44.59,41.36,16544.0,-1292.0000000000016,-7.243776631531739,7578.190000000006,91232.0,98810.19,91232.0,98810.19,-1162.0000000000002
2025-02-24 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.08,19295.999999999996,-636.0000000000014,-3.190848886213127,7578.190000000006,90734.0,98312.19,90734.0,98312.19,-1660.0000000000036
2025-02-24 15:00:00,601166.XSHG,900,900,20.51,20.51,20.49,18441.0,-18.000000000002814,-0.09751340809363018,7578.190000000006,90734.0,98312.19,90734.0,98312.19,-1660.0000000000036
2025-02-24 15:00:00,600036.XSHG,400,400,40.9,40.9,41.27,16508.0,148.00000000000182,0.9046454767726253,7578.190000000006,90734.0,98312.19,90734.0,98312.19,-1660.0000000000036
2025-02-24 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.89,19981.0,173.99999999999886,0.8784773060029227,7578.190000000006,90734.0,98312.19,90734.0,98312.19,-1660.0000000000036
2025-02-24 15:00:00,000651.XSHE,400,400,44.59,44.59,41.27,16508.0,-1328.0,-7.445615608880917,7578.190000000006,90734.0,98312.19,90734.0,98312.19,-1660.0000000000036
2025-02-25 15:00:00,601899.XSHG,1200,1200,16.61,16.61,15.78,18936.0,-996.0000000000001,-4.996989765201687,7578.190000000006,89811.0,97389.19,89811.0,97389.19,-2583.000000000001
2025-02-25 15:00:00,601166.XSHG,900,900,20.51,20.51,20.41,18369.0,-90.00000000000128,-0.4875670404680732,7578.190000000006,89811.0,97389.19,89811.0,97389.19,-2583.000000000001
2025-02-25 15:00:00,600036.XSHG,400,400,40.9,40.9,41.03,16412.0,52.00000000000102,0.31784841075794823,7578.190000000006,89811.0,97389.19,89811.0,97389.19,-2583.000000000001
2025-02-25 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.86,19894.0,87.00000000000072,0.43923865300146137,7578.190000000006,89811.0,97389.19,89811.0,97389.19,-2583.000000000001
2025-02-25 15:00:00,000651.XSHE,400,400,44.59,44.59,40.5,16200.0,-1636.0000000000014,-9.172460192868359,7578.190000000006,89811.0,97389.19,89811.0,97389.19,-2583.000000000001
2025-02-26 15:00:00,601899.XSHG,1200,1200,16.61,16.61,15.86,19032.0,-900.0,-4.515352197471401,7578.190000000006,90340.0,97918.19,90340.0,97918.19,-2054.0000000000023
2025-02-26 15:00:00,601166.XSHG,900,900,20.51,20.51,20.44,18396.0,-63.000000000000256,-0.34129692832765013,7578.190000000006,90340.0,97918.19,90340.0,97918.19,-2054.0000000000023
2025-02-26 15:00:00,600036.XSHG,400,400,40.9,40.9,41.48,16592.0,231.99999999999932,1.418092909535451,7578.190000000006,90340.0,97918.19,90340.0,97918.19,-2054.0000000000023
2025-02-26 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.88,19952.0,144.9999999999995,0.7320644216691097,7578.190000000006,90340.0,97918.19,90340.0,97918.19,-2054.0000000000023
2025-02-26 15:00:00,000651.XSHE,400,400,44.59,44.59,40.92,16368.0,-1468.0000000000007,-8.23054496523885,7578.190000000006,90340.0,97918.19,90340.0,97918.19,-2054.0000000000023
2025-02-27 15:00:00,601899.XSHG,1200,1200,16.61,16.61,15.75,18900.0,-1031.9999999999993,-5.177603853100543,7578.190000000006,91349.0,98927.19,91349.0,98927.19,-1045.0
2025-02-27 15:00:00,601166.XSHG,900,900,20.51,20.51,20.92,18828.0,369.0000000000001,1.9990248659190746,7578.190000000006,91349.0,98927.19,91349.0,98927.19,-1045.0
2025-02-27 15:00:00,600036.XSHG,400,400,40.9,40.9,42.38,16952.0,592.0000000000016,3.618581907090479,7578.190000000006,91349.0,98927.19,91349.0,98927.19,-1045.0
2025-02-27 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.93,20097.0,289.999999999999,1.4641288433382194,7578.190000000006,91349.0,98927.19,91349.0,98927.19,-1045.0
2025-02-27 15:00:00,000651.XSHE,400,400,44.59,44.59,41.43,16572.0,-1264.0000000000014,-7.086790760260153,7578.190000000006,91349.0,98927.19,91349.0,98927.19,-1045.0
2025-02-28 15:00:00,601899.XSHG,1200,1200,16.61,16.61,15.35,18420.0,-1511.9999999999998,-7.585791691751953,7578.190000000006,90178.0,97756.19,90178.0,97756.19,-2216.0000000000027
2025-02-28 15:00:00,601166.XSHG,900,900,20.51,20.51,20.75,18675.0,215.99999999999858,1.1701608971233401,7578.190000000006,90178.0,97756.19,90178.0,97756.19,-2216.0000000000027
2025-02-28 15:00:00,600036.XSHG,400,400,40.9,40.9,42.05,16820.0,459.99999999999943,2.8117359413202925,7578.190000000006,90178.0,97756.19,90178.0,97756.19,-2216.0000000000027
2025-02-28 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.87,19923.0,116.0000000000001,0.5856515373352966,7578.190000000006,90178.0,97756.19,90178.0,97756.19,-2216.0000000000027
2025-02-28 15:00:00,000651.XSHE,400,400,44.59,44.59,40.85,16340.0,-1496.000000000001,-8.387530836510438,7578.190000000006,90178.0,97756.19,90178.0,97756.19,-2216.0000000000027
